# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHVEC    = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# 
STN,YYYYMMDD,FHVEC
  344,20170624,   67
  344,20170625,   60
  344,20170626,   24
  344,20170627,   45
  344,20170628,   21
  344,20170629,   28
  344,20170630,   23
  344,20170701,   34
  344,20170702,   28
  344,20170703,   47
  344,20170704,    6
  344,20170705,   18
  344,20170706,   23
  344,20170707,   22
  344,20170708,   17
  344,20170709,   13
  344,20170710,   23
  344,20170711,   38
  344,20170712,   28
  344,20170713,    4
  344,20170714,   33
  344,20170715,   30
  344,20170716,   25
  344,20170717,   22
  344,20170718,   42
  344,20170719,   18
  344,20170720,   41
  344,20170721,   26
  344,20170722,   32
  344,20170723,   39
  344,20170724,   19
  344,20170725,   43
  344,20170726,   29
  344,20170727,   56
  344,20170728,   62
  344,20170729,   50
  344,20170730,   48
  344,20170731,   29
  344,20170801,   14
  344,20170802,   35
  344,20170803,   83
  344,20170804,   69
  344,20170805,   21
  344,20170806,   25
  344,20170807,   14
  344,20170808,    8
  344,20170809,   30
  344,20170810,   18
  344,20170811,   26
  344,20170812,   30
  344,20170813,    8
  344,20170814,   16
  344,20170815,   10
  344,20170816,   21
  344,20170817,   44
  344,20170818,   52
  344,20170819,   57
  344,20170820,   34
  344,20170821,    8
  344,20170822,   24
  344,20170823,   22
  344,20170824,   39
  344,20170825,    2
  344,20170826,   12
  344,20170827,    7
  344,20170828,    7
  344,20170829,    9
  344,20170830,   17
  344,20170831,   20
  344,20170901,    8
  344,20170902,   14
  344,20170903,   10
  344,20170904,   30
  344,20170905,   39
  344,20170906,   45
  344,20170907,   45
  344,20170908,   71
  344,20170909,   26
  344,20170910,   62
  344,20170911,   82
  344,20170912,   53
  344,20170913,   86
  344,20170914,   46
